SK Hynix | 000660 | KRX
Keyence | KYCCF | TYO
Fanuc | FANUY | TYO
ABB | ABBN | SIX
Foxconn | 2317 | TWSE
Schneider Electric | SU | Euronext Paris
Alchip | 3661 | TWSE
Samsung | 005930 | KRX
Rainbow Robotics | 277810 | KOSDAQ
Tokyo Electron | 8035 | TYO
Advantest | 6857 | TYO
SoftBank | 9984 | TYO
Leonardo S.p.A. | LDO | BIT
Siemens Energy | ENR | XETRA
Umicore | UMI | Euronext Brussels
Prysmian | PRY | BIT
CGN Mining | 1164.HK | HKEX
Venerable Ventures Ltd. | VLV.H | TSXV
Rockhopper Exploration plc | RKH | LSE
Central Asia Metals plc | CAML | LSE
Uranium Energy Corp. | UEC | AMEX
KlaraBo Sverige AB | KLARA B | Nasdaq Stockholm
Ørsted A/S | ORSTED | NASDAQ Copenhagen
Galp Energia, SGPS, S.A. | GALP | Euronext Lisbon
Saudi Arabian Oil Company (Saudi Aramco) | 2222 | Tadawul (Saudi Stock Exchange)
Atlas Copco AB | ATCOA | Nasdaq Stockholm
Alfa Laval AB | ALFA | Nasdaq Stockholm
ASML Holding N.V. | ASML | Euronext Amsterdam
Randstad N.V. | RAND | Euronext Amsterdam
Jungheinrich AG | JUN3 | Xetra
Aker BP ASA | AKRBP | OSE (STO)
A.P. Møller - Mærsk A/S | MAERSK-B | Nasdaq Copenhagen
Austin Gold Corp. | AUST | AMEX
TUI AG | TUI1 | XETRA
Contango Silver & Gold Inc. | CTGO | AMEX
Carbon Streaming Corporation | NETZ | CBOE Canada
ENGIE SA | ENGI | Euronext Paris
Vivendi SE | VIV | Euronext Paris
Universal Music Group N.V. | UMG | Euronext Amsterdam
Eurazeo SE | RF | Euronext Paris
Gestamp Automoción, S.A. | GEST | BME (Bolsas y Mercados Españoles)
Iberdrola, S.A. | IBE | BME (Bolsas y Mercados Españoles)
Western Copper and Gold Corporation | WRN | AMEX
Panther Metals PLC | PALM | LSE
Foremost Clean Energy Ltd. | FMST | CSE
Uranium Participation Corp. | U | TSX
Uranerz Energy Corp. | URZ | AMEX
SPDR Gold Trust | GLD | NYSE Arca
Credit Suisse Group AG | CS | SIX Swiss Exchange
UBS Group AG | UBS | SIX Swiss Exchange
Mountain Province Diamonds Inc. | MPVD | TSX
Sherritt International Corporation | S | TSX
Platinum Group Metals Ltd. | PLG | AMEX
Trilogy Metals Inc. | TMQ | AMEX
Airbus SE | AIR | Euronext Paris
Sany Heavy Industry Co., Ltd. | 600031 | Shanghai Stock Exchange
IAT Automobile Technology Co., Ltd. | 300424 | Shenzhen Stock Exchange
Paramount Gold Nevada Corp. | PZG | AMEX
UPM-Kymmene Oyj | UPM | Nasdaq Helsinki
Landis+Gyr Group AG | LAND | SIX (Swiss)
United States Antimony Corporation | UAMY | AMEX
NorZinc Ltd. | NZC | TSX
Mastech Digital, Inc. | MHH | AMEX
Absa Group Limited | ABG | JSE (Johannesburg Stock Exchange)
FLSmidth & Co. A/S | FLT | Nasdaq Copenhagen
KION GROUP AG | KGX | XETRA
MTU Aero Engines AG | MTX | XETRA
DEUTZ AG | DEZ | XETRA
Nilar International AB | NILAR | Nasdaq First North Growth Market Stockholm
Iveco Group N.V. | IVG | EXM (Euronext Milan)
ISS A/S | ISS | Nasdaq Copenhagen
HEXPOL AB | HPOL-B.ST | Nasdaq Stockholm
TRATON SE | 8TRA | XETRA
Hexagon AB | HEXA-B | Nasdaq Stockholm
Creades AB | CREAD-A | Nasdaq Stockholm
Trevali Mining Corporation | TV | TSX
Rare Earths Americas Inc. | REA | AMEX
Wolters Kluwer N.V. | WKL | Euronext Amsterdam
Royal Vopak N.V. | VPK | Euronext Amsterdam
TomTom N.V. | TOM2 | Euronext Amsterdam
Corbion N.V. | CRBN | Euronext Amsterdam
Tencent Holdings Ltd. | 0700 | HKEX (Hong Kong Stock Exchange)
China Literature Limited | 0772 | HKEX (Hong Kong Stock Exchange)
Redx Pharma Plc | REDX | AIM (LSE)
Eiffage SA | FGR | Euronext Paris
Capgemini SE | CAP | Euronext Paris
Legrand SA | LR | Euronext Paris
Amara Mining Ltd | AMA | LSE
Fertiglobe Plc | FERTIGLOBE | ADX (LSE listed)
Global X ETFs (Global X Lithium & Battery Tech ETF) | LIT | NYSE Arca
BlackRock World Mining Trust plc | BRWM | LSE
Galiano Gold Inc. | GAU | TSX
Koninklijke DSM N.V. | DSM | Euronext Amsterdam
Neste Corporation | NESTE | Nasdaq Helsinki
Smiths Group plc | SMIN | LSE
Goliath Gold Mining Limited | GGM | Johannesburg Stock Exchange (JSE)
Invinity Energy Systems plc | IES | LSE
TietoEVRY | TIETO | Nasdaq Stockholm
Avino Silver & Gold Mines Ltd. | ASM | AMEX
Novo Nordisk A/S | NOVO-B | Nasdaq Copenhagen
Fluidra, S.A. | FLUI | BME (Bolsa de Madrid)
KONE Corporation | KNEBV | Nasdaq Helsinki
Scania AB | SCV-B | STO (Nasdaq Stockholm)
Sylvania Platinum Limited | SLP | LSE
Gränges AB | GRNG | STO (Nasdaq Stockholm)
Siemens Limited (India) | SIEMENS | National Stock Exchange of India (NSE)
Chaarat Gold Holdings Ltd | CGH | LSE
Kumba Iron Ore Limited | KIO | Johannesburg Stock Exchange
Orion Minerals Limited | ORN | Australian Securities Exchange
Kao Corporation | 4452 | Tokyo Stock Exchange
Panasonic Holdings Corporation | 6752 | Tokyo Stock Exchange
A1 Telekom Austria Group | TKA | Vienna Stock Exchange
Orascom Investment Holding | OIH | EGX
INPEX CORPORATION | 1605 | Tokyo Stock Exchange (TSE)
EssilorLuxottica S.A. | EL | Euronext Paris
AkzoNobel N.V. | AKZA | Euronext Amsterdam
Invercap S.A. | INVERCAP | Santiago Stock Exchange
Sanoma Oyj | SAA1V | Nasdaq Helsinki
STM Group Plc | STM | LSE
AECI Ltd | AFE | Johannesburg Stock Exchange (JSE)
MTN Group Limited | MTN | Johannesburg Stock Exchange (JSE)
Handelsbanken | SHB-A | Nasdaq Stockholm
Skanska AB | SKA-B | Nasdaq Stockholm
AB Industrivärden | INDU-A | Nasdaq Stockholm
Continental AG | CON | XETRA
Siemens AG | SIE | XETRA
Svitzer Group A/S | SVITZR | Nasdaq Copenhagen
Koninklijke DSM N.V. (Royal DSM) | DSM | Euronext Amsterdam (STO)
Bilfinger SE | GBF | Xetra
Ivanhoe Electric Inc. | IE | AMEX
Kaizen Capital Corp. | KAI | TSXV
dormakaba Holding AG | DOKA | SIX Swiss Exchange
Metalla Royalty & Streaming Ltd. | MTA | AMEX
Schindler Holding Ltd. | SCHN | SIX Swiss Exchange
Boliden AB | BOL | Nasdaq Stockholm
Ratos AB | RATO-B | Nasdaq Stockholm
Trelleborg AB | TREL-B | Nasdaq Stockholm
